MACHO_Id_1,Amplitude,AndersonDarling,B_R,Beyond1Std,Bmean,CAR_sigma,CAR_tau,CAR_tmean,Con,Eta_B_R,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,LinearTrend,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Q31,Q31B_R,Rcs,Skew,SlottedA,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL,VariabilityIndex,autocor,automean,meanvariance,Class
11.9358.200,0.3335,8.59383416,0.050177878,0.235741445,-6.103327947,-0.020723054,11.67464628,-0.522784828,0.007619048,1.730461603,334.9164595,0.138297872,0.244680851,0.361702128,0.531914894,0.744680851,-1.58E-05,9.053335952,0.0345,0.794676806,-0.1,-0.057138179,-0.030779306,2718.857291,4.50E-37,0.068,0.0565,99.45449035,0.662016972,20,3.341280805,0.061308637,0.450223764,0.736763888,1.414143101,0.305789609,1.11269259,4,-6.103327947,-0.010045116,4
11.9714.184,0.3545,4.29389952,0.119377597,0.269724771,-5.732412844,-0.007515279,41.5134537,-0.138085665,0,1.992130937,1619.546297,0.14973262,0.267379679,0.401069519,0.56684492,0.770053476,-1.67E-05,26.18075191,0.0365,0.788990826,-0.233333333,-0.063388264,-0.032609643,562.5221981,6.12E-17,0.075,0.0705,90.84994884,0.076395074,36,3.307687937,0.063039555,0.3766836,0.746143363,1.414128662,0.234384819,1.462312897,2,-5.732412844,-0.010997037,4
11.9720.68,0.1355,7.793254739,-0.060666426,0.365313653,-7.593619004,0.024887265,6.153326713,-1.234067255,0,1.741092619,231.6317643,0.193103448,0.344827586,0.510344828,0.662068966,0.834482759,2.08E-06,5.413598962,0.0355,0.375461255,-0.033333333,-0.019014409,-0.019080203,1087.542916,2.66E-110,0.074,0.027,163.9102009,0.298902315,164,-0.64546684,0.046284692,0.686530321,0.841374581,1.414186791,0.533428428,0.45918217,59,-7.593619004,-0.006095209,4
12.10561.1161,0.3265,2.171033766,-0.126971814,0.314835787,-6.313527746,-0.003937604,1077.583888,-0.005858966,0.002270148,1.174123376,1125.378889,0.134099617,0.268199234,0.413793103,0.578544061,0.819923372,4.31E-05,14.72851175,0.053,0.580973952,-0.033333333,-0.055590751,-0.041336712,2718.828704,3.96E-109,0.1075,0.0705,76.49117409,0.073422223,348,0.590231644,0.082447843,0.616140059,0.780177974,1.414891684,0.416380833,0.623031904,105,-6.313527746,-0.013058918,4
12.10684.267,0.365,5.908897891,-0.068945987,0.244318182,-5.923314773,-0.423938484,0.066122278,-89.58122644,0,1.062237888,2481.112187,0.165991903,0.299595142,0.433198381,0.599190283,0.79757085,-6.48E-05,30.98145632,0.054,0.636363636,-0.033333333,-0.077792778,-0.041680729,4078.243056,1.75E-62,0.10625,0.134,70.63396629,1.060445838,148,3.201194272,0.083763831,0.565449758,0.760962343,1.414076913,0.426752719,1.175741483,24,-5.923314773,-0.014141378,4
12.10926.76,0.173,2.222684175,-0.092546711,0.316397229,-7.125772517,-0.008075114,31.00201245,-0.229848708,0,1.225259189,2757.382164,0.188118812,0.346534653,0.485148515,0.633663366,0.821782178,-1.19E-07,16.31163415,0.024,0.697459584,-0.166666667,-0.033408198,-0.014177428,2718.828704,4.38E-85,0.049,0.042,208.9710472,-0.404054648,128,2.26350142,0.034059996,0.520730992,0.806128803,1.414197392,0.15211172,0.729702398,44,-7.125772517,-0.004779832,4
13.6689.2365,0.335,16.08089502,-0.281022598,0.255789474,-6.627601053,-0.020263973,33.61604423,-0.197155888,0.020042194,1.914158789,7071.034293,0.144444444,0.262962963,0.374074074,0.544444444,0.811111111,8.36E-05,72.83420032,0.049,0.645263158,-0.033333333,-0.059160018,-0.040644287,16036.73813,1.21E-121,0.1005,0.05075,80.99455566,0.616239098,248,0.645535956,0.08174144,0.598274443,0.790400413,1.414111861,0.410212968,0.423635571,114,-6.627601053,-0.012333488,4
13.6931.2479,0.178,23.32161788,-0.325971565,0.238541667,-6.893553125,-0.014771724,25.03870525,-0.275315878,0.003131524,1.283357816,924.0217047,0.172222222,0.305555556,0.422222222,0.611111111,0.838888889,-4.28E-05,14.70255599,0.034,0.522916667,0.033333333,-0.030675734,-0.026045435,3280.502264,2.26E-87,0.076,0.047,120.127918,0.82246783,212,0.040709226,0.05732529,0.558986739,0.818785838,1.414165914,0.414988238,0.486476231,133,-6.893553125,-0.008315783,4
14.8493.39,0.1845,39.75799612,-0.235573992,0.307692308,-7.833938883,-0.015219154,66.84985566,-0.117187073,0,0.752505578,23.74190963,0.236641221,0.461832061,0.63740458,0.790076336,0.893129771,-7.86E-05,2.836569931,0.059,0.308746048,-0.1,-0.033926302,-0.033290978,2717.699109,8.69E-155,0.167,0.04,85.41337896,0.498901086,452,-1.207571675,0.091620894,0.794767088,0.894908346,1.414864184,0.719898629,0.100578797,178,-7.833938883,-0.01169538,4
14.8622.3551,0.2345,20.00695032,-0.497348649,0.245502646,-6.808910053,-0.005190256,162.6069731,-0.04187342,0.015906681,1.720853287,746.0283162,0.131428571,0.211428571,0.325714286,0.52,0.777142857,2.94E-05,10.49151422,0.028,0.706878307,0.033333333,-0.035043988,-0.025659824,2712.707928,2.35E-72,0.057,0.049,126.2220944,0.73663026,220,1.522741661,0.053886431,0.485784744,0.755801977,1.41491881,0.337978318,0.576409588,79,-6.808910053,-0.007914105,4
